       MER     betaTX    betaRCV     length
 50.216253   0.157000   0.191000       89
 50.374856   0.157000   0.195000       89
 50.244765   0.157000   0.199000       89
 50.031211   0.158000   0.186000       89
 50.541034   0.158000   0.190000       89
 50.797156   0.158000   0.194000       89
 50.749629   0.158000   0.198000       89
 50.240979   0.159000   0.185000       89
 50.844881   0.159000   0.189000       89
 51.204141   0.159000   0.193000       89
 51.249137   0.159000   0.197000       89
 50.429456   0.160000   0.184000       89
 51.126010   0.160000   0.188000       89
 51.592531   0.160000   0.192000       89
 51.739666   0.160000   0.196000       89
 51.535250   0.160000   0.200000       89
 50.596833   0.161000   0.183000       89
 51.383066   0.161000   0.187000       89
 51.959143   0.161000   0.191000       89
 52.217181   0.161000   0.195000       89
 52.099552   0.161000   0.199000       89
 50.743668   0.162000   0.182000       89
 51.615196   0.162000   0.186000       89
 52.301056   0.162000   0.190000       89
 52.677331   0.162000   0.194000       89
 52.658523   0.162000   0.198000       89
 50.870840   0.163000   0.181000       89
 51.822089   0.163000   0.185000       89
 52.615784   0.163000   0.189000       89
 53.115611   0.163000   0.193000       89
 53.207300   0.163000   0.197000       89
 50.979476   0.164000   0.180000       89
 52.003983   0.164000   0.184000       89
 52.901439   0.164000   0.188000       89
 53.527587   0.164000   0.192000       89
 53.740330   0.164000   0.196000       89
 53.487083   0.164000   0.200000       89
 51.070878   0.165000   0.179000       89
 52.161618   0.165000   0.183000       89
 53.156855   0.165000   0.187000       89
 53.909168   0.165000   0.191000       89
 54.251524   0.165000   0.195000       89
 54.093564   0.165000   0.199000       89
 50.016718   0.166000   0.174000       89
 51.146432   0.166000   0.178000       89
 52.296167   0.166000   0.182000       89
 53.381659   0.166000   0.186000       89
 54.256907   0.166000   0.190000       89
 54.734530   0.166000   0.194000       89
 54.683782   0.166000   0.198000       89
 50.045937   0.167000   0.173000       89
 51.207529   0.167000   0.177000       89
 52.409129   0.167000   0.181000       89
 53.576277   0.167000   0.185000       89
 54.568277   0.167000   0.189000       89
 55.183131   0.167000   0.193000       89
 55.249634   0.167000   0.197000       89
 50.066254   0.168000   0.172000       89
 51.255481   0.168000   0.176000       89
 52.502203   0.168000   0.180000       89
 53.741859   0.168000   0.184000       89
 54.841888   0.168000   0.188000       89
 55.591747   0.168000   0.192000       89
 55.782393   0.168000   0.196000       89
 55.369428   0.168000   0.200000       89
 50.078218   0.169000   0.171000       89
 51.291458   0.169000   0.175000       89
 52.577165   0.169000   0.179000       89
 53.880147   0.169000   0.183000       89
 55.077591   0.169000   0.187000       89
 55.955969   0.169000   0.191000       89
 56.273318   0.169000   0.195000       89
 55.940607   0.169000   0.199000       89
 50.082168   0.170000   0.170000       89
 51.316427   0.170000   0.174000       89
 52.635741   0.170000   0.178000       89
 53.993301   0.170000   0.182000       89
 55.276457   0.170000   0.186000       89
 56.273034   0.170000   0.190000       89
 56.714480   0.170000   0.194000       89
 56.466656   0.170000   0.198000       89
 50.078218   0.171000   0.169000       89
 51.331112   0.171000   0.173000       89
 52.679499   0.171000   0.177000       89
 54.083697   0.171000   0.181000       89
 55.440617   0.171000   0.185000       89
 56.542136   0.171000   0.189000       89
 57.099703   0.171000   0.193000       89
 56.936953   0.171000   0.197000       89
 50.066254   0.172000   0.168000       89
 51.335956   0.172000   0.172000       89
 52.709754   0.172000   0.176000       89
 54.153722   0.172000   0.180000       89
 55.572997   0.172000   0.184000       89
 56.764500   0.172000   0.188000       89
 57.425405   0.172000   0.192000       89
 57.342758   0.172000   0.196000       89
 56.612667   0.172000   0.200000       89
 50.045937   0.173000   0.167000       89
 51.331112   0.173000   0.171000       89
 52.727497   0.173000   0.175000       89
 54.205591   0.173000   0.179000       89
 55.676994   0.173000   0.183000       89
 56.943171   0.173000   0.187000       89
 57.691147   0.173000   0.191000       89
 57.678563   0.173000   0.195000       89
 56.983973   0.173000   0.199000       89
 50.016718   0.174000   0.166000       89
 51.316427   0.174000   0.170000       89
 52.733342   0.174000   0.174000       89
 54.241190   0.174000   0.178000       89
 55.756130   0.174000   0.182000       89
 57.082595   0.174000   0.186000       89
 57.899694   0.174000   0.190000       89
 57.943066   0.174000   0.194000       89
 57.279017   0.174000   0.198000       89
 51.291458   0.175000   0.169000       89
 52.727497   0.175000   0.173000       89
 54.261953   0.175000   0.177000       89
 55.813732   0.175000   0.181000       89
 57.188054   0.175000   0.185000       89
 58.056576   0.175000   0.189000       89
 58.139449   0.175000   0.193000       89
 57.497751   0.175000   0.197000       89
 51.255481   0.176000   0.168000       89
 52.709754   0.176000   0.172000       89
 54.268772   0.176000   0.176000       89
 55.852662   0.176000   0.180000       89
 57.265061   0.176000   0.184000       89
 58.169271   0.176000   0.188000       89
 58.274854   0.176000   0.192000       89
 57.645111   0.176000   0.196000       89
 56.612647   0.176000   0.200000       89
 51.207529   0.177000   0.167000       89
 52.679499   0.177000   0.171000       89
 54.261953   0.177000   0.175000       89
 55.875106   0.177000   0.179000       89
 57.318825   0.177000   0.183000       89
 58.246210   0.177000   0.187000       89
 58.359233   0.177000   0.191000       89
 57.730177   0.177000   0.195000       89
 56.705008   0.177000   0.199000       89
 51.146432   0.178000   0.166000       89
 52.635741   0.178000   0.170000       89
 54.241190   0.178000   0.174000       89
 55.882433   0.178000   0.178000       89
 57.353803   0.178000   0.182000       89
 58.295831   0.178000   0.186000       89
 58.403932   0.178000   0.190000       89
 57.764707   0.178000   0.194000       89
 56.740296   0.178000   0.198000       89
 51.070878   0.179000   0.165000       89
 52.577165   0.179000   0.169000       89
 54.205591   0.179000   0.173000       89
 55.875106   0.179000   0.177000       89
 57.373381   0.179000   0.181000       89
 58.325801   0.179000   0.185000       89
 58.420357   0.179000   0.189000       89
 57.761525   0.179000   0.193000       89
 56.730532   0.179000   0.197000       89
 50.979476   0.180000   0.164000       89
 52.502203   0.180000   0.168000       89
 54.153722   0.180000   0.172000       89
 55.852662   0.180000   0.176000       89
 57.379669   0.180000   0.180000       89
 58.342475   0.180000   0.184000       89
 58.418965   0.180000   0.188000       89
 57.733136   0.180000   0.192000       89
 56.688183   0.180000   0.196000       89
 55.583114   0.180000   0.200000       89
 50.870840   0.181000   0.163000       89
 52.409129   0.181000   0.167000       89
 54.083697   0.181000   0.171000       89
 55.813732   0.181000   0.175000       89
 57.373381   0.181000   0.179000       89
 58.350559   0.181000   0.183000       89
 58.408625   0.181000   0.187000       89
 57.690781   0.181000   0.191000       89
 56.625030   0.181000   0.195000       89
 55.516633   0.181000   0.199000       89
 50.743668   0.182000   0.162000       89
 52.296167   0.182000   0.166000       89
 53.993301   0.182000   0.170000       89
 55.756130   0.182000   0.174000       89
 57.353803   0.182000   0.178000       89
 58.352932   0.182000   0.182000       89
 58.396300   0.182000   0.186000       89
 57.643930   0.182000   0.190000       89
 56.551466   0.182000   0.194000       89
 55.432829   0.182000   0.198000       89
 50.596833   0.183000   0.161000       89
 52.161618   0.183000   0.165000       89
 53.880147   0.183000   0.169000       89
 55.676994   0.183000   0.173000       89
 57.318825   0.183000   0.177000       89
 58.350559   0.183000   0.181000       89
 58.386940   0.183000   0.185000       89
 57.600115   0.183000   0.189000       89
 56.476181   0.183000   0.193000       89
 55.340779   0.183000   0.197000       89
 50.429456   0.184000   0.160000       89
 52.003983   0.184000   0.164000       89
 53.741859   0.184000   0.168000       89
 55.572997   0.184000   0.172000       89
 57.265061   0.184000   0.176000       89
 58.342475   0.184000   0.180000       89
 58.383495   0.184000   0.184000       89
 57.564976   0.184000   0.188000       89
 56.406117   0.184000   0.192000       89
 55.248065   0.184000   0.196000       89
 54.214440   0.184000   0.200000       89
 50.240979   0.185000   0.159000       89
 51.822089   0.185000   0.163000       89
 53.576277   0.185000   0.167000       89
 55.440617   0.185000   0.171000       89
 57.188054   0.185000   0.175000       89
 58.325801   0.185000   0.179000       89
 58.386940   0.185000   0.183000       89
 57.542391   0.185000   0.187000       89
 56.346597   0.185000   0.191000       89
 55.160796   0.185000   0.195000       89
 54.112027   0.185000   0.199000       89
 50.031211   0.186000   0.158000       89
 51.615196   0.186000   0.162000       89
 53.381659   0.186000   0.166000       89
 55.276457   0.186000   0.170000       89
 57.082595   0.186000   0.174000       89
 58.295831   0.186000   0.178000       89
 58.396300   0.186000   0.182000       89
 57.534615   0.186000   0.186000       89
 56.301496   0.186000   0.190000       89
 55.083729   0.186000   0.194000       89
 54.014313   0.186000   0.198000       89
 51.383066   0.187000   0.161000       89
 53.156855   0.187000   0.165000       89
 55.077591   0.187000   0.169000       89
 56.943171   0.187000   0.173000       89
 58.246210   0.187000   0.177000       89
 58.408625   0.187000   0.181000       89
 57.542391   0.187000   0.185000       89
 56.273432   0.187000   0.189000       89
 55.020448   0.187000   0.193000       89
 53.925560   0.187000   0.197000       89
 51.126010   0.188000   0.160000       89
 52.901439   0.188000   0.164000       89
 54.841888   0.188000   0.168000       89
 56.764500   0.188000   0.172000       89
 58.169271   0.188000   0.176000       89
 58.418965   0.188000   0.180000       89
 57.564976   0.188000   0.184000       89
 56.263913   0.188000   0.188000       89
 54.973537   0.188000   0.192000       89
 53.849057   0.188000   0.196000       89
 52.911944   0.188000   0.200000       89
 50.844881   0.189000   0.159000       89
 52.615784   0.189000   0.163000       89
 54.568277   0.189000   0.167000       89
 56.542136   0.189000   0.171000       89
 58.056576   0.189000   0.175000       89
 58.420357   0.189000   0.179000       89
 57.600115   0.189000   0.183000       89
 56.273432   0.189000   0.187000       89
 54.944729   0.189000   0.191000       89
 53.787267   0.189000   0.195000       89
 52.826007   0.189000   0.199000       89
 50.541034   0.190000   0.158000       89
 52.301056   0.190000   0.162000       89
 54.256907   0.190000   0.166000       89
 56.273034   0.190000   0.170000       89
 57.899694   0.190000   0.174000       89
 58.403932   0.190000   0.178000       89
 57.643930   0.190000   0.182000       89
 56.301496   0.190000   0.186000       89
 54.935019   0.190000   0.190000       89
 53.741959   0.190000   0.194000       89
 52.752911   0.190000   0.198000       89
 50.216253   0.191000   0.157000       89
 51.959143   0.191000   0.161000       89
 53.909168   0.191000   0.165000       89
 55.955969   0.191000   0.169000       89
 57.691147   0.191000   0.173000       89
 58.359233   0.191000   0.177000       89
 57.690781   0.191000   0.181000       89
 56.346597   0.191000   0.185000       89
 54.944729   0.191000   0.189000       89
