       MER     betaTX    betaRCV     length
 50.001806   0.107300   0.129900       73
 50.008328   0.107400   0.129800       73
 50.014599   0.107500   0.129700       73
 50.003338   0.107600   0.129200       73
 50.020624   0.107600   0.129600       73
 50.031471   0.107600   0.130000       73
 50.009374   0.107700   0.129100       73
 50.026406   0.107700   0.129500       73
 50.036986   0.107700   0.129900       73
 50.015176   0.107800   0.129000       73
 50.031950   0.107800   0.129400       73
 50.042258   0.107800   0.129800       73
 50.020749   0.107900   0.128900       73
 50.037261   0.107900   0.129300       73
 50.047293   0.107900   0.129700       73
 50.003279   0.108000   0.128400       73
 50.026096   0.108000   0.128800       73
 50.042342   0.108000   0.129200       73
 50.052094   0.108000   0.129600       73
 50.055461   0.108000   0.130000       73
 50.008662   0.108100   0.128300       73
 50.031223   0.108100   0.128700       73
 50.047198   0.108100   0.129100       73
 50.056666   0.108100   0.129500       73
 50.059738   0.108100   0.129900       73
 50.013832   0.108200   0.128200       73
 50.036133   0.108200   0.128600       73
 50.051833   0.108200   0.129000       73
 50.061014   0.108200   0.129400       73
 50.063786   0.108200   0.129800       73
 50.018794   0.108300   0.128100       73
 50.040831   0.108300   0.128500       73
 50.056252   0.108300   0.128900       73
 50.065141   0.108300   0.129300       73
 50.067612   0.108300   0.129700       73
 50.023551   0.108400   0.128000       73
 50.045321   0.108400   0.128400       73
 50.060459   0.108400   0.128800       73
 50.069054   0.108400   0.129200       73
 50.071218   0.108400   0.129600       73
 50.067094   0.108400   0.130000       73
 50.028109   0.108500   0.127900       73
 50.049606   0.108500   0.128300       73
 50.064459   0.108500   0.128700       73
 50.072755   0.108500   0.129100       73
 50.074610   0.108500   0.129500       73
 50.070168   0.108500   0.129900       73
 50.004528   0.108600   0.127400       73
 50.032470   0.108600   0.127800       73
 50.053692   0.108600   0.128200       73
 50.068255   0.108600   0.128600       73
 50.076249   0.108600   0.129000       73
 50.077792   0.108600   0.129400       73
 50.073030   0.108600   0.129800       73
 50.008960   0.108700   0.127300       73
 50.036639   0.108700   0.127700       73
 50.057583   0.108700   0.128100       73
 50.071853   0.108700   0.128500       73
 50.079542   0.108700   0.128900       73
 50.080770   0.108700   0.129300       73
 50.075684   0.108700   0.129700       73
 50.013208   0.108800   0.127200       73
 50.040621   0.108800   0.127600       73
 50.061282   0.108800   0.128000       73
 50.075257   0.108800   0.128400       73
 50.082637   0.108800   0.128800       73
 50.083547   0.108800   0.129200       73
 50.078134   0.108800   0.129600       73
 50.066574   0.108800   0.130000       73
 50.017275   0.108900   0.127100       73
 50.044418   0.108900   0.127500       73
 50.064795   0.108900   0.127900       73
 50.078470   0.108900   0.128300       73
 50.085540   0.108900   0.128700       73
 50.086128   0.108900   0.129100       73
 50.080386   0.108900   0.129500       73
 50.068491   0.108900   0.129900       73
 50.021165   0.109000   0.127000       73
 50.048037   0.109000   0.127400       73
 50.068125   0.109000   0.127800       73
 50.081498   0.109000   0.128200       73
 50.088253   0.109000   0.128600       73
 50.088518   0.109000   0.129000       73
 50.082444   0.109000   0.129400       73
 50.070211   0.109000   0.129800       73
 50.024884   0.109100   0.126900       73
 50.051479   0.109100   0.127300       73
 50.071277   0.109100   0.127700       73
 50.084345   0.109100   0.128100       73
 50.090783   0.109100   0.128500       73
 50.090721   0.109100   0.128900       73
 50.084313   0.109100   0.129300       73
 50.071741   0.109100   0.129700       73
 50.028433   0.109200   0.126800       73
 50.054751   0.109200   0.127200       73
 50.074254   0.109200   0.127600       73
 50.087015   0.109200   0.128000       73
 50.093134   0.109200   0.128400       73
 50.092742   0.109200   0.128800       73
 50.085998   0.109200   0.129200       73
 50.073083   0.109200   0.129600       73
 50.054203   0.109200   0.130000       73
 50.031818   0.109300   0.126700       73
 50.057855   0.109300   0.127100       73
 50.077062   0.109300   0.127500       73
 50.089512   0.109300   0.127900       73
 50.095309   0.109300   0.128300       73
 50.094586   0.109300   0.128700       73
 50.087503   0.109300   0.129100       73
 50.074244   0.109300   0.129500       73
 50.055016   0.109300   0.129900       73
 50.002403   0.109400   0.126200       73
 50.035043   0.109400   0.126600       73
 50.060796   0.109400   0.127000       73
 50.079703   0.109400   0.127400       73
 50.091841   0.109400   0.127800       73
 50.097314   0.109400   0.128200       73
 50.096257   0.109400   0.128600       73
 50.088833   0.109400   0.129000       73
 50.075227   0.109400   0.129400       73
 50.055651   0.109400   0.129800       73
 50.005739   0.109500   0.126100       73
 50.038111   0.109500   0.126500       73
 50.063577   0.109500   0.126900       73
 50.082183   0.109500   0.127300       73
 50.094006   0.109500   0.127700       73
 50.099152   0.109500   0.128100       73
 50.097760   0.109500   0.128500       73
 50.089992   0.109500   0.128900       73
 50.076039   0.109500   0.129300       73
 50.056111   0.109500   0.129700       73
 50.008925   0.109600   0.126000       73
 50.041025   0.109600   0.126400       73
 50.066204   0.109600   0.126800       73
 50.084506   0.109600   0.127200       73
 50.096011   0.109600   0.127600       73
 50.100829   0.109600   0.128000       73
 50.099098   0.109600   0.128400       73
 50.090986   0.109600   0.128800       73
 50.076683   0.109600   0.129200       73
 50.056402   0.109600   0.129600       73
 50.030376   0.109600   0.130000       73
 50.011965   0.109700   0.125900       73
 50.043791   0.109700   0.126300       73
 50.068679   0.109700   0.126700       73
 50.086675   0.109700   0.127100       73
 50.097861   0.109700   0.127500       73
 50.102348   0.109700   0.127900       73
 50.100278   0.109700   0.128300       73
 50.091819   0.109700   0.128700       73
 50.077164   0.109700   0.129100       73
 50.056528   0.109700   0.129500       73
 50.030147   0.109700   0.129900       73
 50.014861   0.109800   0.125800       73
 50.046412   0.109800   0.126200       73
 50.071007   0.109800   0.126600       73
 50.088695   0.109800   0.127000       73
 50.099560   0.109800   0.127400       73
 50.103715   0.109800   0.127800       73
 50.101303   0.109800   0.128200       73
 50.092495   0.109800   0.128600       73
 50.077487   0.109800   0.129000       73
 50.056495   0.109800   0.129400       73
 50.029757   0.109800   0.129800       73
 50.017618   0.109900   0.125700       73
 50.048891   0.109900   0.126100       73
 50.073192   0.109900   0.126500       73
 50.090570   0.109900   0.126900       73
 50.101112   0.109900   0.127300       73
 50.104932   0.109900   0.127700       73
 50.102177   0.109900   0.128100       73
 50.093019   0.109900   0.128500       73
 50.077656   0.109900   0.128900       73
 50.056307   0.109900   0.129300       73
 50.029211   0.109900   0.129700       73
 50.020239   0.110000   0.125600       73
 50.051233   0.110000   0.126000       73
 50.075237   0.110000   0.126400       73
 50.092304   0.110000   0.126800       73
 50.102521   0.110000   0.127200       73
 50.106006   0.110000   0.127600       73
 50.102906   0.110000   0.128000       73
 50.093396   0.110000   0.128400       73
 50.077676   0.110000   0.128800       73
 50.055969   0.110000   0.129200       73
 50.028514   0.110000   0.129600       73
 50.022728   0.110100   0.125500       73
 50.053441   0.110100   0.125900       73
 50.077147   0.110100   0.126300       73
 50.093901   0.110100   0.126700       73
 50.103792   0.110100   0.127100       73
 50.106939   0.110100   0.127500       73
 50.103492   0.110100   0.127900       73
 50.093630   0.110100   0.128300       73
 50.077553   0.110100   0.128700       73
 50.055485   0.110100   0.129100       73
 50.027670   0.110100   0.129500       73
 50.025088   0.110200   0.125400       73
 50.055519   0.110200   0.125800       73
 50.078926   0.110200   0.126200       73
 50.095365   0.110200   0.126600       73
 50.104928   0.110200   0.127000       73
 50.107736   0.110200   0.127400       73
 50.103942   0.110200   0.127800       73
 50.093725   0.110200   0.128200       73
 50.077289   0.110200   0.128600       73
 50.054861   0.110200   0.129000       73
 50.026684   0.110200   0.129400       73
 50.027324   0.110300   0.125300       73
 50.057471   0.110300   0.125700       73
 50.080576   0.110300   0.126100       73
 50.096700   0.110300   0.126500       73
 50.105933   0.110300   0.126900       73
 50.108402   0.110300   0.127300       73
 50.104259   0.110300   0.127700       73
 50.093686   0.110300   0.128100       73
 50.076891   0.110300   0.128500       73
 50.054100   0.110300   0.128900       73
 50.025561   0.110300   0.129300       73
 50.029438   0.110400   0.125200       73
 50.059300   0.110400   0.125600       73
 50.082103   0.110400   0.126000       73
 50.097909   0.110400   0.126400       73
 50.106813   0.110400   0.126800       73
 50.108940   0.110400   0.127200       73
 50.104447   0.110400   0.127600       73
 50.093518   0.110400   0.128000       73
 50.076361   0.110400   0.128400       73
 50.053208   0.110400   0.128800       73
 50.024306   0.110400   0.129200       73
 50.031435   0.110500   0.125100       73
 50.061010   0.110500   0.125500       73
 50.083510   0.110500   0.125900       73
 50.098998   0.110500   0.126300       73
 50.107570   0.110500   0.126700       73
 50.109355   0.110500   0.127100       73
 50.104511   0.110500   0.127500       73
 50.093224   0.110500   0.127900       73
 50.075706   0.110500   0.128300       73
 50.052188   0.110500   0.128700       73
 50.022922   0.110500   0.129100       73
 50.033317   0.110600   0.125000       73
 50.062605   0.110600   0.125400       73
 50.084801   0.110600   0.125800       73
 50.099969   0.110600   0.126200       73
 50.108209   0.110600   0.126600       73
 50.109650   0.110600   0.127000       73
 50.104455   0.110600   0.127400       73
 50.092810   0.110600   0.127800       73
 50.074929   0.110600   0.128200       73
 50.051046   0.110600   0.128600       73
 50.021416   0.110600   0.129000       73
 50.035088   0.110700   0.124900       73
 50.064088   0.110700   0.125300       73
 50.085979   0.110700   0.125700       73
 50.100827   0.110700   0.126100       73
 50.108733   0.110700   0.126500       73
 50.109831   0.110700   0.126900       73
 50.104282   0.110700   0.127300       73
 50.092279   0.110700   0.127700       73
 50.074034   0.110700   0.128100       73
 50.049787   0.110700   0.128500       73
 50.019790   0.110700   0.128900       73
 50.000880   0.110800   0.124400       73
 50.036752   0.110800   0.124800       73
 50.065463   0.110800   0.125200       73
 50.087048   0.110800   0.125600       73
 50.101575   0.110800   0.126000       73
 50.109147   0.110800   0.126400       73
 50.109900   0.110800   0.126800       73
 50.103998   0.110800   0.127200       73
 50.091635   0.110800   0.127600       73
 50.073027   0.110800   0.128000       73
 50.048413   0.110800   0.128400       73
 50.018051   0.110800   0.128800       73
 50.002710   0.110900   0.124300       73
 50.038311   0.110900   0.124700       73
 50.066733   0.110900   0.125100       73
 50.088011   0.110900   0.125500       73
 50.102217   0.110900   0.125900       73
 50.109455   0.110900   0.126300       73
 50.109863   0.110900   0.126700       73
 50.103607   0.110900   0.127100       73
 50.090883   0.110900   0.127500       73
 50.071910   0.110900   0.127900       73
 50.046930   0.110900   0.128300       73
 50.016201   0.110900   0.128700       73
 50.004440   0.111000   0.124200       73
 50.039770   0.111000   0.124600       73
 50.067902   0.111000   0.125000       73
 50.088873   0.111000   0.125400       73
 50.102757   0.111000   0.125800       73
 50.109660   0.111000   0.126200       73
 50.109722   0.111000   0.126600       73
 50.103112   0.111000   0.127000       73
 50.090027   0.111000   0.127400       73
 50.070689   0.111000   0.127800       73
 50.045342   0.111000   0.128200       73
 50.014247   0.111000   0.128600       73
 50.006073   0.111100   0.124100       73
 50.041131   0.111100   0.124500       73
 50.068973   0.111100   0.124900       73
 50.089637   0.111100   0.125300       73
 50.103198   0.111100   0.125700       73
 50.109766   0.111100   0.126100       73
 50.109482   0.111100   0.126500       73
 50.102517   0.111100   0.126900       73
 50.089071   0.111100   0.127300       73
 50.069368   0.111100   0.127700       73
 50.043654   0.111100   0.128100       73
 50.012191   0.111100   0.128500       73
 50.007612   0.111200   0.124000       73
 50.042399   0.111200   0.124400       73
