       MER     betaTX    betaRCV     length idx TX & RCV        OB1        OB2        OB3   b Kaiser     weight 
 41.703300   0.171200   0.199000         93      50989  62.095617  64.253070  63.047739   0.000000         20 
 41.764304   0.171200   0.199400         93      50990  62.095617  64.253070  63.047739   0.000000         20 
 41.825568   0.171200   0.199800         93      50991  62.095617  64.253070  63.047739   0.000000         20 
 40.035403   0.171300   0.186900         93      51027  62.068800  64.278403  63.072538   0.000000         20 
 40.086744   0.171300   0.187300         93      51028  62.068800  64.278403  63.072538   0.000000         20 
 40.138439   0.171300   0.187700         93      51029  62.068800  64.278403  63.072538   0.000000         20 
 40.190489   0.171300   0.188100         93      51030  62.068800  64.278403  63.072538   0.000000         20 
 40.242891   0.171300   0.188500         93      51031  62.068800  64.278403  63.072538   0.000000         20 
 40.295646   0.171300   0.188900         93      51032  62.068800  64.278403  63.072538   0.000000         20 
 40.348752   0.171300   0.189300         93      51033  62.068800  64.278403  63.072538   0.000000         20 
 40.402209   0.171300   0.189700         93      51034  62.068800  64.278403  63.072538   0.000000         20 
 40.456014   0.171300   0.190100         93      51035  62.068800  64.278403  63.072538   0.000000         20 
 40.510166   0.171300   0.190500         93      51036  62.068800  64.278403  63.072538   0.000000         20 
 40.564664   0.171300   0.190900         93      51037  62.068800  64.278403  63.072538   0.000000         20 
 40.619507   0.171300   0.191300         93      51038  62.068800  64.278403  63.072538   0.000000         20 
 40.674692   0.171300   0.191700         93      51039  62.068800  64.278403  63.072538   0.000000         20 
 40.730217   0.171300   0.192100         93      51040  62.068800  64.278403  63.072538   0.000000         20 
 40.786081   0.171300   0.192500         93      51041  62.068800  64.278403  63.072538   0.000000         20 
 40.842281   0.171300   0.192900         93      51042  62.068800  64.278403  63.072538   0.000000         20 
 40.898814   0.171300   0.193300         93      51043  62.068800  64.278403  63.072538   0.000000         20 
 40.955678   0.171300   0.193700         93      51044  62.068800  64.278403  63.072538   0.000000         20 
 41.012870   0.171300   0.194100         93      51045  62.068800  64.278403  63.072538   0.000000         20 
 41.070387   0.171300   0.194500         93      51046  62.068800  64.278403  63.072538   0.000000         20 
 41.128225   0.171300   0.194900         93      51047  62.068800  64.278403  63.072538   0.000000         20 
 41.186382   0.171300   0.195300         93      51048  62.068800  64.278403  63.072538   0.000000         20 
 41.244852   0.171300   0.195700         93      51049  62.068800  64.278403  63.072538   0.000000         20 
 41.303634   0.171300   0.196100         93      51050  62.068800  64.278403  63.072538   0.000000         20 
 41.362721   0.171300   0.196500         93      51051  62.068800  64.278403  63.072538   0.000000         20 
 41.422110   0.171300   0.196900         93      51052  62.068800  64.278403  63.072538   0.000000         20 
 41.481796   0.171300   0.197300         93      51053  62.068800  64.278403  63.072538   0.000000         20 
 41.541773   0.171300   0.197700         93      51054  62.068800  64.278403  63.072538   0.000000         20 
 41.602037   0.171300   0.198100         93      51055  62.068800  64.278403  63.072538   0.000000         20 
 41.662582   0.171300   0.198500         93      51056  62.068800  64.278403  63.072538   0.000000         20 
 41.723401   0.171300   0.198900         93      51057  62.068800  64.278403  63.072538   0.000000         20 
 41.784489   0.171300   0.199300         93      51058  62.068800  64.278403  63.072538   0.000000         20 
 41.845839   0.171300   0.199700         93      51059  62.068800  64.278403  63.072538   0.000000         20 
 40.002573   0.171400   0.186400         93      51094  62.042008  64.303686  63.097402   0.000000         20 
 40.053600   0.171400   0.186800         93      51095  62.042008  64.303686  63.097402   0.000000         20 
 40.104985   0.171400   0.187200         93      51096  62.042008  64.303686  63.097402   0.000000         20 
 40.156725   0.171400   0.187600         93      51097  62.042008  64.303686  63.097402   0.000000         20 
 40.208821   0.171400   0.188000         93      51098  62.042008  64.303686  63.097402   0.000000         20 
 40.261271   0.171400   0.188400         93      51099  62.042008  64.303686  63.097402   0.000000         20 
 40.314075   0.171400   0.188800         93      51100  62.042008  64.303686  63.097402   0.000000         20 
 40.367231   0.171400   0.189200         93      51101  62.042008  64.303686  63.097402   0.000000         20 
 40.420739   0.171400   0.189600         93      51102  62.042008  64.303686  63.097402   0.000000         20 
 40.474597   0.171400   0.190000         93      51103  62.042008  64.303686  63.097402   0.000000         20 
 40.528803   0.171400   0.190400         93      51104  62.042008  64.303686  63.097402   0.000000         20 
 40.583357   0.171400   0.190800         93      51105  62.042008  64.303686  63.097402   0.000000         20 
 40.638257   0.171400   0.191200         93      51106  62.042008  64.303686  63.097402   0.000000         20 
 40.693500   0.171400   0.191600         93      51107  62.042008  64.303686  63.097402   0.000000         20 
 40.749085   0.171400   0.192000         93      51108  62.042008  64.303686  63.097402   0.000000         20 
 40.805010   0.171400   0.192400         93      51109  62.042008  64.303686  63.097402   0.000000         20 
 40.861272   0.171400   0.192800         93      51110  62.042008  64.303686  63.097402   0.000000         20 
 40.917869   0.171400   0.193200         93      51111  62.042008  64.303686  63.097402   0.000000         20 
 40.974798   0.171400   0.193600         93      51112  62.042008  64.303686  63.097402   0.000000         20 
 41.032057   0.171400   0.194000         93      51113  62.042008  64.303686  63.097402   0.000000         20 
 41.089642   0.171400   0.194400         93      51114  62.042008  64.303686  63.097402   0.000000         20 
 41.147549   0.171400   0.194800         93      51115  62.042008  64.303686  63.097402   0.000000         20 
 41.205777   0.171400   0.195200         93      51116  62.042008  64.303686  63.097402   0.000000         20 
 41.264319   0.171400   0.195600         93      51117  62.042008  64.303686  63.097402   0.000000         20 
 41.323174   0.171400   0.196000         93      51118  62.042008  64.303686  63.097402   0.000000         20 
 41.382336   0.171400   0.196400         93      51119  62.042008  64.303686  63.097402   0.000000         20 
 41.441801   0.171400   0.196800         93      51120  62.042008  64.303686  63.097402   0.000000         20 
 41.501564   0.171400   0.197200         93      51121  62.042008  64.303686  63.097402   0.000000         20 
 41.561620   0.171400   0.197600         93      51122  62.042008  64.303686  63.097402   0.000000         20 
 41.621964   0.171400   0.198000         93      51123  62.042008  64.303686  63.097402   0.000000         20 
 41.682590   0.171400   0.198400         93      51124  62.042008  64.303686  63.097402   0.000000         20 
 41.743492   0.171400   0.198800         93      51125  62.042008  64.303686  63.097402   0.000000         20 
 41.804663   0.171400   0.199200         93      51126  62.042008  64.303686  63.097402   0.000000         20 
 41.866097   0.171400   0.199600         93      51127  62.042008  64.303686  63.097402   0.000000         20 
 41.927787   0.171400   0.200000         93      51128  62.042008  64.303686  63.097402   0.000000         20 
 40.020719   0.171500   0.186300         93      51163  62.015241  64.328921  63.122329   0.000000         20 
 40.071789   0.171500   0.186700         93      51164  62.015241  64.328921  63.122329   0.000000         20 
 40.123217   0.171500   0.187100         93      51165  62.015241  64.328921  63.122329   0.000000         20 
 40.175002   0.171500   0.187500         93      51166  62.015241  64.328921  63.122329   0.000000         20 
 40.227144   0.171500   0.187900         93      51167  62.015241  64.328921  63.122329   0.000000         20 
 40.279641   0.171500   0.188300         93      51168  62.015241  64.328921  63.122329   0.000000         20 
 40.332494   0.171500   0.188700         93      51169  62.015241  64.328921  63.122329   0.000000         20 
 40.385700   0.171500   0.189100         93      51170  62.015241  64.328921  63.122329   0.000000         20 
 40.439259   0.171500   0.189500         93      51171  62.015241  64.328921  63.122329   0.000000         20 
 40.493170   0.171500   0.189900         93      51172  62.015241  64.328921  63.122329   0.000000         20 
 40.547431   0.171500   0.190300         93      51173  62.015241  64.328921  63.122329   0.000000         20 
 40.602040   0.171500   0.190700         93      51174  62.015241  64.328921  63.122329   0.000000         20 
 40.656997   0.171500   0.191100         93      51175  62.015241  64.328921  63.122329   0.000000         20 
 40.712298   0.171500   0.191500         93      51176  62.015241  64.328921  63.122329   0.000000         20 
 40.767943   0.171500   0.191900         93      51177  62.015241  64.328921  63.122329   0.000000         20 
 40.823929   0.171500   0.192300         93      51178  62.015241  64.328921  63.122329   0.000000         20 
 40.880253   0.171500   0.192700         93      51179  62.015241  64.328921  63.122329   0.000000         20 
 40.936914   0.171500   0.193100         93      51180  62.015241  64.328921  63.122329   0.000000         20 
 40.993908   0.171500   0.193500         93      51181  62.015241  64.328921  63.122329   0.000000         20 
 41.051233   0.171500   0.193900         93      51182  62.015241  64.328921  63.122329   0.000000         20 
 41.108886   0.171500   0.194300         93      51183  62.015241  64.328921  63.122329   0.000000         20 
 41.166863   0.171500   0.194700         93      51184  62.015241  64.328921  63.122329   0.000000         20 
 41.225161   0.171500   0.195100         93      51185  62.015241  64.328921  63.122329   0.000000         20 
 41.283775   0.171500   0.195500         93      51186  62.015241  64.328921  63.122329   0.000000         20 
 41.342703   0.171500   0.195900         93      51187  62.015241  64.328921  63.122329   0.000000         20 
 41.401940   0.171500   0.196300         93      51188  62.015241  64.328921  63.122329   0.000000         20 
 41.461481   0.171500   0.196700         93      51189  62.015241  64.328921  63.122329   0.000000         20 
 41.521321   0.171500   0.197100         93      51190  62.015241  64.328921  63.122329   0.000000         20 
 41.581456   0.171500   0.197500         93      51191  62.015241  64.328921  63.122329   0.000000         20 
 41.641880   0.171500   0.197900         93      51192  62.015241  64.328921  63.122329   0.000000         20 
