       MER     betaTX    betaRCV     length
 50.825032   0.220000   0.260000       65
 52.815928   0.230000   0.250000       65
 51.325978   0.230000   0.290000       65
 53.382202   0.240000   0.240000       65
 54.349243   0.240000   0.280000       65
 52.815928   0.250000   0.230000       65
 54.253424   0.250000   0.270000       65
 50.825032   0.260000   0.220000       65
 53.780540   0.260000   0.260000       65
 54.253424   0.270000   0.250000       65
 54.349243   0.280000   0.240000       65
 51.325978   0.290000   0.230000       65
 52.374730   0.230000   0.280000       69
 53.943477   0.240000   0.270000       69
 53.672002   0.250000   0.260000       69
 50.133507   0.250000   0.300000       69
 53.672002   0.260000   0.250000       69
 50.173085   0.260000   0.290000       69
 53.943477   0.270000   0.240000       69
 52.374730   0.280000   0.230000       69
 50.173085   0.290000   0.260000       69
 50.133507   0.300000   0.250000       69
 50.604527   0.200000   0.220000       73
 50.002985   0.200000   0.260000       73
 51.061828   0.210000   0.210000       73
 54.664161   0.210000   0.250000       73
 50.604527   0.220000   0.200000       73
 55.683310   0.220000   0.240000       73
 55.169899   0.230000   0.230000       73
 55.683310   0.240000   0.220000       73
 54.664161   0.250000   0.210000       73
 50.002985   0.260000   0.200000       73
 51.514892   0.200000   0.250000       77
 54.144659   0.210000   0.240000       77
 54.081380   0.220000   0.230000       77
 50.350708   0.220000   0.270000       77
 54.081380   0.230000   0.220000       77
 50.816431   0.230000   0.260000       77
 54.144659   0.240000   0.210000       77
 50.370910   0.240000   0.250000       77
 51.514892   0.250000   0.200000       77
 50.370910   0.250000   0.240000       77
 50.816431   0.260000   0.230000       77
 50.350708   0.270000   0.220000       77
 53.131718   0.180000   0.220000       81
 57.732912   0.190000   0.210000       81
 58.528429   0.200000   0.200000       81
 50.871589   0.200000   0.240000       81
 57.732912   0.210000   0.190000       81
 50.147408   0.210000   0.230000       81
 53.131718   0.220000   0.180000       81
 50.147408   0.230000   0.210000       81
 50.871589   0.240000   0.200000       81
 52.401116   0.260000   0.300000       81
 53.487180   0.270000   0.290000       81
 53.645368   0.280000   0.280000       81
 53.487180   0.290000   0.270000       81
 52.401116   0.300000   0.260000       81
 63.596746   0.300000   0.300000       81
 52.027437   0.180000   0.210000       85
 52.295966   0.190000   0.200000       85
 50.805241   0.190000   0.240000       85
 52.295966   0.200000   0.190000       85
 52.708387   0.200000   0.230000       85
 52.027437   0.210000   0.180000       85
 52.302368   0.210000   0.220000       85
 52.302368   0.220000   0.210000       85
 52.708387   0.230000   0.200000       85
 50.805241   0.240000   0.190000       85
 51.680143   0.250000   0.300000       85
 52.963193   0.260000   0.290000       85
 52.839876   0.270000   0.280000       85
 52.839876   0.280000   0.270000       85
 52.963193   0.290000   0.260000       85
 59.171906   0.290000   0.300000       85
 51.680143   0.300000   0.250000       85
 59.171906   0.300000   0.290000       85
 50.082168   0.170000   0.170000       89
 53.388907   0.170000   0.210000       89
 55.583114   0.180000   0.200000       89
 54.935019   0.190000   0.190000       89
 55.583114   0.200000   0.180000       89
 53.388907   0.210000   0.170000       89
 51.083230   0.230000   0.270000       89
 51.862462   0.240000   0.260000       89
 51.203949   0.240000   0.300000       89
 51.896892   0.250000   0.250000       89
 57.219030   0.250000   0.290000       89
 51.862462   0.260000   0.240000       89
 63.241208   0.260000   0.280000       89
 51.083230   0.270000   0.230000       89
 64.407876   0.270000   0.270000       89
 63.241208   0.280000   0.260000       89
 54.702384   0.280000   0.300000       89
 57.219030   0.290000   0.250000       89
 54.092647   0.290000   0.290000       89
 51.203949   0.300000   0.240000       89
 54.702384   0.300000   0.280000       89
 54.117806   0.170000   0.200000       93
 54.545748   0.180000   0.190000       93
 54.545748   0.190000   0.180000       93
 51.013733   0.190000   0.220000       93
 54.117806   0.200000   0.170000       93
 50.517730   0.200000   0.210000       93
 50.517730   0.210000   0.200000       93
 51.013733   0.220000   0.190000       93
 50.470421   0.220000   0.270000       93
