       MER     betaTX    betaRCV     length
 50.253674   0.230000   0.300000       33
 50.568905   0.240000   0.290000       33
 50.074637   0.250000   0.280000       33
 50.074637   0.280000   0.250000       33
 50.568905   0.290000   0.240000       33
 50.253674   0.300000   0.230000       33
 50.397387   0.250000   0.300000       57
 52.840582   0.260000   0.290000       57
 54.016408   0.270000   0.280000       57
 54.016408   0.280000   0.270000       57
 52.840582   0.290000   0.260000       57
 54.118037   0.290000   0.300000       57
 50.397387   0.300000   0.250000       57
 54.118037   0.300000   0.290000       57
 50.376082   0.250000   0.290000       61
 50.574693   0.260000   0.280000       61
 50.492984   0.270000   0.270000       61
 50.574693   0.280000   0.260000       61
 53.465655   0.280000   0.300000       61
 50.376082   0.290000   0.250000       61
 53.222366   0.290000   0.290000       61
 53.465655   0.300000   0.280000       61
 51.158172   0.220000   0.270000       65
 54.990817   0.230000   0.260000       65
 56.875136   0.240000   0.250000       65
 52.130015   0.240000   0.290000       65
 56.875136   0.250000   0.240000       65
 52.252148   0.250000   0.280000       65
 54.990817   0.260000   0.230000       65
 51.516411   0.260000   0.270000       65
 51.158172   0.270000   0.220000       65
 51.516411   0.270000   0.260000       65
 52.252148   0.280000   0.250000       65
 52.130015   0.290000   0.240000       65
 50.986121   0.220000   0.260000       69
 51.467849   0.230000   0.250000       69
 50.639795   0.230000   0.290000       69
 51.368991   0.240000   0.240000       69
 53.002669   0.240000   0.280000       69
 51.467849   0.250000   0.230000       69
 53.054648   0.250000   0.270000       69
 50.986121   0.260000   0.220000       69
 52.757605   0.260000   0.260000       69
 53.054648   0.270000   0.250000       69
 53.002669   0.280000   0.240000       69
 50.639795   0.290000   0.230000       69
 52.636681   0.200000   0.230000       73
 54.280498   0.210000   0.220000       73
 52.095966   0.210000   0.260000       73
 54.280498   0.220000   0.210000       73
 53.324341   0.220000   0.250000       73
 52.636681   0.230000   0.200000       73
 52.539302   0.230000   0.240000       73
 52.539302   0.240000   0.230000       73
 53.324341   0.250000   0.220000       73
 52.095966   0.260000   0.210000       73
 50.038275   0.200000   0.220000       77
 53.285046   0.210000   0.250000       77
 50.038275   0.220000   0.200000       77
 53.909786   0.220000   0.240000       77
 53.569372   0.230000   0.230000       77
 50.063074   0.230000   0.270000       77
 53.909786   0.240000   0.220000       77
 53.285046   0.250000   0.210000       77
 50.063074   0.270000   0.230000       77
 51.265885   0.180000   0.230000       81
 56.488659   0.190000   0.220000       81
 57.177813   0.200000   0.210000       81
 57.177813   0.210000   0.200000       81
 56.488659   0.220000   0.190000       81
 51.265885   0.230000   0.180000       81
 55.244332   0.270000   0.300000       81
 56.232857   0.280000   0.290000       81
 56.232857   0.290000   0.280000       81
 55.244332   0.300000   0.270000       81
