       MER     betaTX    betaRCV     length
 51.725371   0.260000   0.230000       93
 58.169379   0.260000   0.270000       93
 54.401970   0.260000   0.310000       93
 54.355192   0.270000   0.240000       93
 59.343155   0.270000   0.280000       93
 53.789043   0.270000   0.320000       93
 57.693802   0.280000   0.250000       93
 56.753502   0.280000   0.290000       93
 53.353750   0.280000   0.330000       93
 59.098177   0.290000   0.260000       93
 54.584925   0.290000   0.300000       93
 53.390330   0.290000   0.340000       93
 57.113208   0.300000   0.270000       93
 53.574169   0.300000   0.310000       93
 53.968011   0.300000   0.350000       93
 55.102366   0.310000   0.280000       93
 53.594053   0.310000   0.320000       93
 55.044920   0.310000   0.360000       93
 54.092344   0.320000   0.290000       93
 54.589082   0.320000   0.330000       93
 56.424991   0.320000   0.370000       93
 54.057559   0.330000   0.300000       93
 56.639027   0.330000   0.340000       93
 57.615411   0.330000   0.380000       93
 50.198409   0.340000   0.270000       93
 54.950778   0.340000   0.310000       93
 59.872020   0.340000   0.350000       93
 57.987758   0.340000   0.390000       93
 50.445155   0.350000   0.280000       93
 56.814615   0.350000   0.320000       93
 63.224117   0.350000   0.360000       93
 57.557814   0.350000   0.400000       93
 50.803117   0.360000   0.290000       93
 59.675596   0.360000   0.330000       93
 62.284740   0.360000   0.370000       93
 51.280925   0.370000   0.300000       93
 62.576959   0.370000   0.340000       93
 59.416717   0.370000   0.380000       93
 51.829512   0.380000   0.310000       93
 62.224316   0.380000   0.350000       93
 57.584029   0.380000   0.390000       93
 52.360110   0.390000   0.320000       93
 59.841475   0.390000   0.360000       93
 56.888543   0.390000   0.400000       93
 52.784906   0.400000   0.330000       93
 58.124150   0.400000   0.370000       93
 52.232123   0.150000   0.190000       97
 53.158315   0.160000   0.160000       97
 52.077313   0.160000   0.200000       97
 57.984022   0.170000   0.170000       97
 50.017460   0.170000   0.210000       97
 52.002079   0.180000   0.180000       97
 52.232123   0.190000   0.150000       97
 52.077313   0.200000   0.160000       97
 50.017460   0.210000   0.170000       97
 51.262701   0.210000   0.250000       97
 54.054485   0.220000   0.260000       97
 52.476857   0.230000   0.230000       97
 56.738191   0.230000   0.270000       97
 58.246554   0.240000   0.240000       97
 56.504429   0.240000   0.280000       97
 51.262701   0.250000   0.210000       97
 63.958094   0.250000   0.250000       97
 54.551320   0.250000   0.290000       97
 54.054485   0.260000   0.220000       97
 57.083895   0.260000   0.260000       97
 53.208126   0.260000   0.300000       97
 56.738191   0.270000   0.230000       97
 53.421979   0.270000   0.270000       97
 52.861901   0.270000   0.310000       97
 56.504429   0.280000   0.240000       97
 51.939447   0.280000   0.280000       97
 53.492111   0.280000   0.320000       97
 54.551320   0.290000   0.250000       97
 51.880792   0.290000   0.290000       97
 55.100176   0.290000   0.330000       97
 53.208126   0.300000   0.260000       97
 53.095165   0.300000   0.300000       97
 57.632212   0.300000   0.340000       97
 52.861901   0.310000   0.270000       97
 55.841123   0.310000   0.310000       97
 60.165489   0.310000   0.350000       97
 50.018651   0.310000   0.390000       97
 53.492111   0.320000   0.280000       97
 61.169866   0.320000   0.320000       97
