       MER     betaTX    betaRCV     length idx TX & RCV        OB1        OB2        OB3   b Kaiser     weight 
 41.030167   0.142900   0.181100        101     140116  61.257321  64.227279  63.610860   0.000000         20 
 41.068708   0.142900   0.181500        101     140117  61.257321  64.227279  63.610860   0.000000         20 
 41.107005   0.142900   0.181900        101     140118  61.257321  64.227279  63.610860   0.000000         20 
 41.145044   0.142900   0.182300        101     140119  61.257321  64.227279  63.610860   0.000000         20 
 41.182808   0.142900   0.182700        101     140120  61.257321  64.227279  63.610860   0.000000         20 
 41.220282   0.142900   0.183100        101     140121  61.257321  64.227279  63.610860   0.000000         20 
 41.257450   0.142900   0.183500        101     140122  61.257321  64.227279  63.610860   0.000000         20 
 40.456141   0.143000   0.175000        101     140123  61.209367  64.254150  63.637727   0.000000         20 
 40.496738   0.143000   0.175400        101     140124  61.209367  64.254150  63.637727   0.000000         20 
 40.537289   0.143000   0.175800        101     140125  61.209367  64.254150  63.637727   0.000000         20 
 40.577784   0.143000   0.176200        101     140126  61.209367  64.254150  63.637727   0.000000         20 
 40.618210   0.143000   0.176600        101     140127  61.209367  64.254150  63.637727   0.000000         20 
 40.658555   0.143000   0.177000        101     140128  61.209367  64.254150  63.637727   0.000000         20 
 40.698808   0.143000   0.177400        101     140129  61.209367  64.254150  63.637727   0.000000         20 
 40.738956   0.143000   0.177800        101     140130  61.209367  64.254150  63.637727   0.000000         20 
 40.778986   0.143000   0.178200        101     140131  61.209367  64.254150  63.637727   0.000000         20 
 40.818886   0.143000   0.178600        101     140132  61.209367  64.254150  63.637727   0.000000         20 
 40.858641   0.143000   0.179000        101     140133  61.209367  64.254150  63.637727   0.000000         20 
 40.898239   0.143000   0.179400        101     140134  61.209367  64.254150  63.637727   0.000000         20 
 40.937665   0.143000   0.179800        101     140135  61.209367  64.254150  63.637727   0.000000         20 
 40.976906   0.143000   0.180200        101     140136  61.209367  64.254150  63.637727   0.000000         20 
 41.015947   0.143000   0.180600        101     140137  61.209367  64.254150  63.637727   0.000000         20 
 41.054773   0.143000   0.181000        101     140138  61.209367  64.254150  63.637727   0.000000         20 
 41.093370   0.143000   0.181400        101     140139  61.209367  64.254150  63.637727   0.000000         20 
 41.131723   0.143000   0.181800        101     140140  61.209367  64.254150  63.637727   0.000000         20 
 41.169815   0.143000   0.182200        101     140141  61.209367  64.254150  63.637727   0.000000         20 
 41.207632   0.143000   0.182600        101     140142  61.209367  64.254150  63.637727   0.000000         20 
 41.245158   0.143000   0.183000        101     140143  61.209367  64.254150  63.637727   0.000000         20 
 41.282377   0.143000   0.183400        101     140144  61.209367  64.254150  63.637727   0.000000         20 
 41.319271   0.143000   0.183800        101     140145  61.209367  64.254150  63.637727   0.000000         20 
 40.479862   0.143100   0.174900        101     140146  61.161497  64.280969  63.664507   0.000000         20 
 40.520518   0.143100   0.175300        101     140147  61.161497  64.280969  63.664507   0.000000         20 
 40.561130   0.143100   0.175700        101     140148  61.161497  64.280969  63.664507   0.000000         20 
 40.601685   0.143100   0.176100        101     140149  61.161497  64.280969  63.664507   0.000000         20 
 40.642171   0.143100   0.176500        101     140150  61.161497  64.280969  63.664507   0.000000         20 
 40.682577   0.143100   0.176900        101     140151  61.161497  64.280969  63.664507   0.000000         20 
 40.722890   0.143100   0.177300        101     140152  61.161497  64.280969  63.664507   0.000000         20 
 40.763098   0.143100   0.177700        101     140153  61.161497  64.280969  63.664507   0.000000         20 
 40.803189   0.143100   0.178100        101     140154  61.161497  64.280969  63.664507   0.000000         20 
